"a_o","codigo_comarca","codigo_muncipio","codigo_producto","codigo_provincia","comarca","cultivo","grupo_de_cultivo","municipio","ocupaci_n_primera_regad_o","ocupaci_n_primera_secano","ocupaciones_asociadas_regad_o","ocupaciones_asociadas_secano","ocupaciones_posteriores_regad_o","ocupaciones_posteriores_secano"
"2010","1","36","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","BOHODON (EL)","11","341",,,,
"2010","1","36","0001/08","5","AREVALO-MADRIGAL","MAIZ","CEREALES GRANO","BOHODON (EL)","3",,,,,
"2010","1","36","0002/05","5","AREVALO-MADRIGAL","GUISANTE SECO","LEGUMINOSAS GRANO","BOHODON (EL)",,"14",,,,
"2010","1","36","0003/03","5","AREVALO-MADRIGAL","PATATA MED. ESTACION","TUBERCULOS","BOHODON (EL)","1",,,,,
"2010","1","36","0004/02","5","AREVALO-MADRIGAL","REMOLACHA AZUCARERA","CULTIV. INDUSTRIALES","BOHODON (EL)","20",,,,,
"2010","1","36","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","BOHODON (EL)","2","49",,,,
"2010","1","36","0006/01","5","AREVALO-MADRIGAL","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BOHODON (EL)",,"11",,,,
"2010","1","36","0006/10","5","AREVALO-MADRIGAL","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","BOHODON (EL)",,"2",,,,
"2010","1","36","0006/02","5","AREVALO-MADRIGAL","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","BOHODON (EL)","8",,,,,
"2010","1","36","0007/24","5","AREVALO-MADRIGAL","CEBOLLA","HORTALIZAS","BOHODON (EL)","1",,,,,
"2010","3","37","0002/01","5","BARCO AVILA-PIEDRAHITA","JUDIA SECA","LEGUMINOSAS GRANO","BOHOYO","2",,,,,
"2010","3","37","0003/04","5","BARCO AVILA-PIEDRAHITA","PATATA TARDIA","TUBERCULOS","BOHOYO","1",,,,,
"2010","3","37","0006/01","5","BARCO AVILA-PIEDRAHITA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BOHOYO",,"4",,,,
"2010","3","37","0006/19","5","BARCO AVILA-PIEDRAHITA","CARDO Y OTROS FORRAJ","CULTIVOS FORRAJEROS","BOHOYO","10",,,,,
"2010","3","37","0007/31","5","BARCO AVILA-PIEDRAHITA","JUDIA VERDE","HORTALIZAS","BOHOYO","1",,,,,
"2010","3","38","0001/01","5","BARCO AVILA-PIEDRAHITA","TRIGO","CEREALES GRANO","BONILLA DE LA SIERRA",,"10",,,,
"2010","3","38","0001/02","5","BARCO AVILA-PIEDRAHITA","CEBADA","CEREALES GRANO","BONILLA DE LA SIERRA",,"43",,,,
"2010","3","38","0001/03","5","BARCO AVILA-PIEDRAHITA","AVENA","CEREALES GRANO","BONILLA DE LA SIERRA",,"2",,,,
"2010","3","38","0001/04","5","BARCO AVILA-PIEDRAHITA","CENTENO","CEREALES GRANO","BONILLA DE LA SIERRA",,"3",,,,
"2010","3","38","0006/01","5","BARCO AVILA-PIEDRAHITA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BONILLA DE LA SIERRA",,"43",,,,
"2010","2","39","0001/01","5","AVILA","TRIGO","CEREALES GRANO","BRABOS",,"63",,,,
"2010","2","39","0001/02","5","AVILA","CEBADA","CEREALES GRANO","BRABOS",,"623",,,,
"2010","2","39","0001/03","5","AVILA","AVENA","CEREALES GRANO","BRABOS",,"9",,,,
"2010","2","39","0001/04","5","AVILA","CENTENO","CEREALES GRANO","BRABOS",,"48",,,,
"2010","2","39","0004/09","5","AVILA","GIRASOL","CULTIV. INDUSTRIALES","BRABOS",,"52",,,,
"2010","2","39","0006/01","5","AVILA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BRABOS",,"42",,,,
"2010","2","39","0006/10","5","AVILA","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","BRABOS",,"3",,,,
"2010","2","39","0006/02","5","AVILA","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","BRABOS","6",,,,,
"2010","2","40","0001/01","5","AVILA","TRIGO","CEREALES GRANO","BULARROS",,"81",,,,
"2010","2","40","0001/02","5","AVILA","CEBADA","CEREALES GRANO","BULARROS",,"537",,,,
"2010","2","40","0001/03","5","AVILA","AVENA","CEREALES GRANO","BULARROS",,"16",,,,
"2010","2","40","0001/04","5","AVILA","CENTENO","CEREALES GRANO","BULARROS",,"58",,,,
"2010","2","40","0002/04","5","AVILA","GARBANZO","LEGUMINOSAS GRANO","BULARROS",,"1",,,,
"2010","2","40","0002/05","5","AVILA","GUISANTE SECO","LEGUMINOSAS GRANO","BULARROS",,"10",,,,
"2010","2","40","0002/06","5","AVILA","VEZA","LEGUMINOSAS GRANO","BULARROS",,"29",,,,
"2010","2","40","0004/09","5","AVILA","GIRASOL","CULTIV. INDUSTRIALES","BULARROS",,"62",,,,
"2010","2","40","0006/01","5","AVILA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BULARROS",,"29",,,,
"2010","2","40","0006/10","5","AVILA","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","BULARROS",,"46",,,,
"2010","5","41","0003/03","5","VALLE BAJO ALBERCHE","PATATA MED. ESTACION","TUBERCULOS","BURGOHONDO","5",,,,,
"2010","5","41","0006/01","5","VALLE BAJO ALBERCHE","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","BURGOHONDO",,"1",,,,
"2010","5","41","0007/13","5","VALLE BAJO ALBERCHE","CALABAZA","HORTALIZAS","BURGOHONDO","1",,,,,
"2010","5","41","0007/17","5","VALLE BAJO ALBERCHE","TOMATE","HORTALIZAS","BURGOHONDO","1",,,,,
"2010","5","41","0007/18","5","VALLE BAJO ALBERCHE","PIMIENTO","HORTALIZAS","BURGOHONDO","1",,,,,
"2010","5","41","0007/31","5","VALLE BAJO ALBERCHE","JUDIA VERDE","HORTALIZAS","BURGOHONDO","1",,,,,
"2010","5","41","0007/05","5","VALLE BAJO ALBERCHE","LECHUGA","HORTALIZAS","BURGOHONDO","1",,,,,
"2010","1","42","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CABEZAS DE ALAMBRE","29","70",,,,
"2010","1","42","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CABEZAS DE ALAMBRE","78","173",,,,
"2010","1","42","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CABEZAS DE ALAMBRE","4","3",,,,
"2010","1","42","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CABEZAS DE ALAMBRE","76","114",,,,
"2010","1","42","0002/01","5","AREVALO-MADRIGAL","JUDIA SECA","LEGUMINOSAS GRANO","CABEZAS DE ALAMBRE",,"2",,,,
"2010","1","42","0002/12","5","AREVALO-MADRIGAL","OTRAS LEGUMINOSAS","LEGUMINOSAS GRANO","CABEZAS DE ALAMBRE","2",,,,,
"2010","1","42","0002/04","5","AREVALO-MADRIGAL","GARBANZO","LEGUMINOSAS GRANO","CABEZAS DE ALAMBRE",,"1",,,,
"2010","1","42","0003/03","5","AREVALO-MADRIGAL","PATATA MED. ESTACION","TUBERCULOS","CABEZAS DE ALAMBRE","17",,,,,
"2010","1","42","0004/02","5","AREVALO-MADRIGAL","REMOLACHA AZUCARERA","CULTIV. INDUSTRIALES","CABEZAS DE ALAMBRE","67",,,,,
"2010","1","42","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","CABEZAS DE ALAMBRE",,"13",,,,
"2010","1","42","0006/19","5","AREVALO-MADRIGAL","CARDO Y OTROS FORRAJ","CULTIVOS FORRAJEROS","CABEZAS DE ALAMBRE","17",,,,,
"2010","1","42","0006/06","5","AREVALO-MADRIGAL","ALFALFA","CULTIVOS FORRAJEROS","CABEZAS DE ALAMBRE",,"3",,,,
"2010","1","42","0007/20","5","AREVALO-MADRIGAL","FRESA Y FRESON","HORTALIZAS","CABEZAS DE ALAMBRE","40",,,,,
"2010","1","43","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CABEZAS DEL POZO","6","139",,,,
"2010","1","43","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CABEZAS DEL POZO","9","833",,,,
"2010","1","43","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CABEZAS DEL POZO",,"22",,,,
"2010","1","43","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CABEZAS DEL POZO",,"27",,,,
"2010","1","43","0002/11","5","AREVALO-MADRIGAL","YERO","LEGUMINOSAS GRANO","CABEZAS DEL POZO",,"24",,,,
"2010","1","43","0002/05","5","AREVALO-MADRIGAL","GUISANTE SECO","LEGUMINOSAS GRANO","CABEZAS DEL POZO",,"8",,,,
"2010","1","43","0002/06","5","AREVALO-MADRIGAL","VEZA","LEGUMINOSAS GRANO","CABEZAS DEL POZO",,"13",,,,
"2010","1","43","0003/04","5","AREVALO-MADRIGAL","PATATA TARDIA","TUBERCULOS","CABEZAS DEL POZO","15",,,,,
"2010","1","43","0004/02","5","AREVALO-MADRIGAL","REMOLACHA AZUCARERA","CULTIV. INDUSTRIALES","CABEZAS DEL POZO","19",,,,,
"2010","1","43","0004/21","5","AREVALO-MADRIGAL","COLZA","CULTIV. INDUSTRIALES","CABEZAS DEL POZO",,"14",,,,
"2010","1","43","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","CABEZAS DEL POZO",,"42",,,,
"2010","1","43","0006/01","5","AREVALO-MADRIGAL","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CABEZAS DEL POZO",,"13",,,,
"2010","1","43","0006/10","5","AREVALO-MADRIGAL","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CABEZAS DEL POZO",,"26",,,,
"2010","1","43","0006/19","5","AREVALO-MADRIGAL","CARDO Y OTROS FORRAJ","CULTIVOS FORRAJEROS","CABEZAS DEL POZO",,"3",,,,
"2010","1","43","0006/02","5","AREVALO-MADRIGAL","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","CABEZAS DEL POZO",,"9",,,,
"2010","1","43","0006/06","5","AREVALO-MADRIGAL","ALFALFA","CULTIVOS FORRAJEROS","CABEZAS DEL POZO",,"3",,,,
"2010","2","44","0001/01","5","AVILA","TRIGO","CEREALES GRANO","CABEZAS DEL VILLAR",,"120",,,,
"2010","2","44","0001/02","5","AVILA","CEBADA","CEREALES GRANO","CABEZAS DEL VILLAR",,"90",,,,
"2010","2","44","0001/03","5","AVILA","AVENA","CEREALES GRANO","CABEZAS DEL VILLAR",,"99",,,,
"2010","2","44","0001/04","5","AVILA","CENTENO","CEREALES GRANO","CABEZAS DEL VILLAR",,"129",,,,
"2010","2","44","0002/05","5","AVILA","GUISANTE SECO","LEGUMINOSAS GRANO","CABEZAS DEL VILLAR",,"28",,,,
"2010","2","44","0006/01","5","AVILA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CABEZAS DEL VILLAR",,"175",,,,
"2010","1","45","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CABIZUELA","6","89",,,,
"2010","1","45","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CABIZUELA","10","183",,,,
"2010","1","45","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CABIZUELA","2","18",,,,
"2010","1","45","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CABIZUELA","31","471",,,,
"2010","1","45","0002/05","5","AREVALO-MADRIGAL","GUISANTE SECO","LEGUMINOSAS GRANO","CABIZUELA",,"15",,,,
"2010","1","45","0003/04","5","AREVALO-MADRIGAL","PATATA TARDIA","TUBERCULOS","CABIZUELA","20",,,,,
"2010","1","45","0004/02","5","AREVALO-MADRIGAL","REMOLACHA AZUCARERA","CULTIV. INDUSTRIALES","CABIZUELA","9",,,,,
"2010","1","45","0004/21","5","AREVALO-MADRIGAL","COLZA","CULTIV. INDUSTRIALES","CABIZUELA","19","9",,,,
"2010","1","45","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","CABIZUELA","7","97",,,,
"2010","1","45","0006/10","5","AREVALO-MADRIGAL","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CABIZUELA",,"10",,,,
"2010","1","45","0006/06","5","AREVALO-MADRIGAL","ALFALFA","CULTIVOS FORRAJEROS","CABIZUELA",,"2",,,,
"2010","1","45","0007/20","5","AREVALO-MADRIGAL","FRESA Y FRESON","HORTALIZAS","CABIZUELA","37",,,,,
"2010","1","45","0007/24","5","AREVALO-MADRIGAL","CEBOLLA","HORTALIZAS","CABIZUELA","8",,,,,
"2010","1","46","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CANALES",,"64",,,,
"2010","1","46","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CANALES","2","257",,,,
"2010","1","46","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CANALES",,"3",,,,
"2010","1","46","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CANALES",,"32",,,,
"2010","1","46","0002/11","5","AREVALO-MADRIGAL","YERO","LEGUMINOSAS GRANO","CANALES",,"3",,,,
"2010","1","46","0002/05","5","AREVALO-MADRIGAL","GUISANTE SECO","LEGUMINOSAS GRANO","CANALES",,"7",,,,
"2010","1","46","0004/21","5","AREVALO-MADRIGAL","COLZA","CULTIV. INDUSTRIALES","CANALES",,"11",,,,
"2010","1","46","0006/02","5","AREVALO-MADRIGAL","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","CANALES",,"8",,,,
"2010","1","46","0007/20","5","AREVALO-MADRIGAL","FRESA Y FRESON","HORTALIZAS","CANALES","1",,,,,
"2010","6","47","0001/01","5","VALLE DEL TIETAR","TRIGO","CEREALES GRANO","CANDELEDA","10",,,,,
"2010","6","47","0001/02","5","VALLE DEL TIETAR","CEBADA","CEREALES GRANO","CANDELEDA","19",,,,,
"2010","6","47","0001/03","5","VALLE DEL TIETAR","AVENA","CEREALES GRANO","CANDELEDA","64","143",,,,
"2010","6","47","0001/08","5","VALLE DEL TIETAR","MAIZ","CEREALES GRANO","CANDELEDA","8",,,,,
"2010","6","47","0001/09","5","VALLE DEL TIETAR","SORGO","CEREALES GRANO","CANDELEDA","11",,,,,
"2010","6","47","0002/01","5","VALLE DEL TIETAR","JUDIA SECA","LEGUMINOSAS GRANO","CANDELEDA","1",,,,,
"2010","6","47","0002/06","5","VALLE DEL TIETAR","VEZA","LEGUMINOSAS GRANO","CANDELEDA",,"4",,,,
"2010","6","47","0003/02","5","VALLE DEL TIETAR","PATATA TEMPRANA","TUBERCULOS","CANDELEDA","1",,,,,
"2010","6","47","0003/03","5","VALLE DEL TIETAR","PATATA MED. ESTACION","TUBERCULOS","CANDELEDA","2",,,,,
"2010","6","47","0004/12","5","VALLE DEL TIETAR","PIM. PARA PIMENTON","CULTIV. INDUSTRIALES","CANDELEDA","22",,,,,
"2010","6","47","0004/17","5","VALLE DEL TIETAR","TABACO","CULTIV. INDUSTRIALES","CANDELEDA","58","9",,,,
"2010","6","47","0004/09","5","VALLE DEL TIETAR","GIRASOL","CULTIV. INDUSTRIALES","CANDELEDA","2",,,,,
"2010","6","47","0006/01","5","VALLE DEL TIETAR","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CANDELEDA","268","87",,,,
"2010","6","47","0006/10","5","VALLE DEL TIETAR","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CANDELEDA","96","38",,,,
"2010","6","47","0006/11","5","VALLE DEL TIETAR","HABAS, GUISANTES","CULTIVOS FORRAJEROS","CANDELEDA","22",,,,,
"2010","6","47","0006/12","5","VALLE DEL TIETAR","NABO FORRAJERO","CULTIVOS FORRAJEROS","CANDELEDA","5",,,,,
"2010","6","47","0006/19","5","VALLE DEL TIETAR","CARDO Y OTROS FORRAJ","CULTIVOS FORRAJEROS","CANDELEDA",,"375",,,,
"2010","6","47","0006/03","5","VALLE DEL TIETAR","SORGO FORRAJERO","CULTIVOS FORRAJEROS","CANDELEDA","4",,,,,
"2010","6","47","0006/07","5","VALLE DEL TIETAR","TREBOL","CULTIVOS FORRAJEROS","CANDELEDA",,"7",,,,
"2010","6","47","0007/01","5","VALLE DEL TIETAR","COL Y REPOLLO","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/11","5","VALLE DEL TIETAR","SANDIA","HORTALIZAS","CANDELEDA","4",,,,,
"2010","6","47","0007/12","5","VALLE DEL TIETAR","MELON","HORTALIZAS","CANDELEDA","4",,,,,
"2010","6","47","0007/13","5","VALLE DEL TIETAR","CALABAZA","HORTALIZAS","CANDELEDA","2",,,,,
"2010","6","47","0007/14","5","VALLE DEL TIETAR","PEPINO","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/15","5","VALLE DEL TIETAR","PEPINILLO","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/16","5","VALLE DEL TIETAR","BERENJENA","HORTALIZAS","CANDELEDA","2",,,,,
"2010","6","47","0007/18","5","VALLE DEL TIETAR","PIMIENTO","HORTALIZAS","CANDELEDA","5",,,,,
"2010","6","47","0007/19","5","VALLE DEL TIETAR","GUINDILLA","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/20","5","VALLE DEL TIETAR","FRESA Y FRESON","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/22","5","VALLE DEL TIETAR","COLIFLOR","HORTALIZAS","CANDELEDA","1",,,,,
"2010","6","47","0007/23","5","VALLE DEL TIETAR","AJO","HORTALIZAS","CANDELEDA","2",,,,,
"2010","6","47","0007/03","5","VALLE DEL TIETAR","ESPARRAGO","HORTALIZAS","CANDELEDA","5",,,,,
"2010","6","47","0007/31","5","VALLE DEL TIETAR","JUDIA VERDE","HORTALIZAS","CANDELEDA","4",,,,,
"2010","6","47","0007/32","5","VALLE DEL TIETAR","GUISANTE VERDE","HORTALIZAS","CANDELEDA","4",,,,,
"2010","6","47","0007/05","5","VALLE DEL TIETAR","LECHUGA","HORTALIZAS","CANDELEDA","4",,,,,
"2010","6","47","0007/08","5","VALLE DEL TIETAR","ACELGA","HORTALIZAS","CANDELEDA","1",,,,,
"2010","1","48","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CANTIVEROS","6","72",,,,
"2010","1","48","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CANTIVEROS","32","605",,,,
"2010","1","48","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CANTIVEROS",,"5",,,,
"2010","1","48","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CANTIVEROS",,"19",,,,
"2010","1","48","0003/03","5","AREVALO-MADRIGAL","PATATA MED. ESTACION","TUBERCULOS","CANTIVEROS","2",,,,,
"2010","1","48","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","CANTIVEROS","12","70",,,,
"2010","1","48","0006/02","5","AREVALO-MADRIGAL","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","CANTIVEROS","3",,,,,
"2010","1","48","0007/20","5","AREVALO-MADRIGAL","FRESA Y FRESON","HORTALIZAS","CANTIVEROS","1",,,,,
"2010","2","49","0001/01","5","AVILA","TRIGO","CEREALES GRANO","CARDEÑOSA",,"6",,,,
"2010","2","49","0001/02","5","AVILA","CEBADA","CEREALES GRANO","CARDEÑOSA",,"70",,,,
"2010","2","49","0001/03","5","AVILA","AVENA","CEREALES GRANO","CARDEÑOSA",,"14",,,,
"2010","2","49","0001/04","5","AVILA","CENTENO","CEREALES GRANO","CARDEÑOSA",,"35",,,,
"2010","2","49","0004/09","5","AVILA","GIRASOL","CULTIV. INDUSTRIALES","CARDEÑOSA",,"1",,,,
"2010","2","49","0006/01","5","AVILA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CARDEÑOSA",,"22",,,,
"2010","2","49","0006/10","5","AVILA","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CARDEÑOSA",,"8",,,,
"2010","3","51","0001/01","5","BARCO AVILA-PIEDRAHITA","TRIGO","CEREALES GRANO","CARRERA (LA)",,"4",,,,
"2010","3","51","0001/02","5","BARCO AVILA-PIEDRAHITA","CEBADA","CEREALES GRANO","CARRERA (LA)","2","6",,,,
"2010","3","51","0002/01","5","BARCO AVILA-PIEDRAHITA","JUDIA SECA","LEGUMINOSAS GRANO","CARRERA (LA)","5",,,,,
"2010","3","51","0002/04","5","BARCO AVILA-PIEDRAHITA","GARBANZO","LEGUMINOSAS GRANO","CARRERA (LA)",,"2",,,,
"2010","3","51","0003/04","5","BARCO AVILA-PIEDRAHITA","PATATA TARDIA","TUBERCULOS","CARRERA (LA)","2",,,,,
"2010","3","51","0006/19","5","BARCO AVILA-PIEDRAHITA","CARDO Y OTROS FORRAJ","CULTIVOS FORRAJEROS","CARRERA (LA)","23",,,,,
"2010","3","51","0006/02","5","BARCO AVILA-PIEDRAHITA","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","CARRERA (LA)","1",,,,,
"2010","3","51","0006/06","5","BARCO AVILA-PIEDRAHITA","ALFALFA","CULTIVOS FORRAJEROS","CARRERA (LA)","2",,,,,
"2010","3","51","0007/24","5","BARCO AVILA-PIEDRAHITA","CEBOLLA","HORTALIZAS","CARRERA (LA)","1",,,,,
"2010","3","51","0007/31","5","BARCO AVILA-PIEDRAHITA","JUDIA VERDE","HORTALIZAS","CARRERA (LA)","1",,,,,
"2010","3","52","0006/01","5","BARCO AVILA-PIEDRAHITA","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CASAS DEL PUERTO DE VILLATORO",,"2",,,,
"2010","6","54","0002/04","5","VALLE DEL TIETAR","GARBANZO","LEGUMINOSAS GRANO","CASAVIEJA",,"1",,,,
"2010","6","54","0003/02","5","VALLE DEL TIETAR","PATATA TEMPRANA","TUBERCULOS","CASAVIEJA","1",,,,,
"2010","6","54","0003/03","5","VALLE DEL TIETAR","PATATA MED. ESTACION","TUBERCULOS","CASAVIEJA","2",,,,,
"2010","6","54","0006/01","5","VALLE DEL TIETAR","CEREALES PARA FORRAJ","CULTIVOS FORRAJEROS","CASAVIEJA","1","59",,,,
"2010","6","54","0006/10","5","VALLE DEL TIETAR","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CASAVIEJA",,"10",,,,
"2010","6","54","0006/16","5","VALLE DEL TIETAR","PRADERAS POLIFITAS","CULTIVOS FORRAJEROS","CASAVIEJA",,"15",,,,
"2010","6","54","0006/06","5","VALLE DEL TIETAR","ALFALFA","CULTIVOS FORRAJEROS","CASAVIEJA","1",,,,,
"2010","6","54","0007/01","5","VALLE DEL TIETAR","COL Y REPOLLO","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/11","5","VALLE DEL TIETAR","SANDIA","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/12","5","VALLE DEL TIETAR","MELON","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/17","5","VALLE DEL TIETAR","TOMATE","HORTALIZAS","CASAVIEJA","2",,,,,
"2010","6","54","0007/18","5","VALLE DEL TIETAR","PIMIENTO","HORTALIZAS","CASAVIEJA","2",,,,,
"2010","6","54","0007/23","5","VALLE DEL TIETAR","AJO","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/24","5","VALLE DEL TIETAR","CEBOLLA","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/31","5","VALLE DEL TIETAR","JUDIA VERDE","HORTALIZAS","CASAVIEJA","1",,,,,
"2010","6","54","0007/35","5","VALLE DEL TIETAR","OTRAS HORTALIZAS","HORTALIZAS","CASAVIEJA","3",,,,,
"2010","6","55","0002/01","5","VALLE DEL TIETAR","JUDIA SECA","LEGUMINOSAS GRANO","CASILLAS","1",,,,,
"2010","6","55","0003/02","5","VALLE DEL TIETAR","PATATA TEMPRANA","TUBERCULOS","CASILLAS","1",,,,,
"2010","6","55","0003/03","5","VALLE DEL TIETAR","PATATA MED. ESTACION","TUBERCULOS","CASILLAS","1",,,,,
"2010","6","55","0007/01","5","VALLE DEL TIETAR","COL Y REPOLLO","HORTALIZAS","CASILLAS","1",,,,,
"2010","6","55","0007/13","5","VALLE DEL TIETAR","CALABAZA","HORTALIZAS","CASILLAS","1",,,,,
"2010","6","55","0007/18","5","VALLE DEL TIETAR","PIMIENTO","HORTALIZAS","CASILLAS","1",,,,,
"2010","6","55","0007/23","5","VALLE DEL TIETAR","AJO","HORTALIZAS","CASILLAS","1",,,,,
"2010","1","56","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CASTELLANOS DE ZAPARDIEL","50","142",,,,
"2010","1","56","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CASTELLANOS DE ZAPARDIEL","107","321",,,,
"2010","1","56","0001/03","5","AREVALO-MADRIGAL","AVENA","CEREALES GRANO","CASTELLANOS DE ZAPARDIEL",,"20",,,,
"2010","1","56","0001/04","5","AREVALO-MADRIGAL","CENTENO","CEREALES GRANO","CASTELLANOS DE ZAPARDIEL","1","38",,,,
"2010","1","56","0001/08","5","AREVALO-MADRIGAL","MAIZ","CEREALES GRANO","CASTELLANOS DE ZAPARDIEL","3",,,,,
"2010","1","56","0002/05","5","AREVALO-MADRIGAL","GUISANTE SECO","LEGUMINOSAS GRANO","CASTELLANOS DE ZAPARDIEL","4","11",,,,
"2010","1","56","0003/03","5","AREVALO-MADRIGAL","PATATA MED. ESTACION","TUBERCULOS","CASTELLANOS DE ZAPARDIEL","15",,,,,
"2010","1","56","0004/02","5","AREVALO-MADRIGAL","REMOLACHA AZUCARERA","CULTIV. INDUSTRIALES","CASTELLANOS DE ZAPARDIEL","30",,,,,
"2010","1","56","0004/09","5","AREVALO-MADRIGAL","GIRASOL","CULTIV. INDUSTRIALES","CASTELLANOS DE ZAPARDIEL",,"9",,,,
"2010","1","56","0006/10","5","AREVALO-MADRIGAL","VEZA PARA FORRAJE","CULTIVOS FORRAJEROS","CASTELLANOS DE ZAPARDIEL",,"12",,,,
"2010","1","56","0006/02","5","AREVALO-MADRIGAL","MAIZ FORRAJERO","CULTIVOS FORRAJEROS","CASTELLANOS DE ZAPARDIEL","12",,,,,
"2010","1","56","0006/06","5","AREVALO-MADRIGAL","ALFALFA","CULTIVOS FORRAJEROS","CASTELLANOS DE ZAPARDIEL",,"12",,,,
"2010","1","56","0007/24","5","AREVALO-MADRIGAL","CEBOLLA","HORTALIZAS","CASTELLANOS DE ZAPARDIEL","2",,,,,
"2010","5","57","0001/02","5","VALLE BAJO ALBERCHE","CEBADA","CEREALES GRANO","CEBREROS",,"11",,,,
"2010","5","57","0003/03","5","VALLE BAJO ALBERCHE","PATATA MED. ESTACION","TUBERCULOS","CEBREROS","3",,,,,
"2010","5","57","0007/17","5","VALLE BAJO ALBERCHE","TOMATE","HORTALIZAS","CEBREROS","4",,,,,
"2010","5","57","0007/18","5","VALLE BAJO ALBERCHE","PIMIENTO","HORTALIZAS","CEBREROS","1",,,,,
"2010","5","57","0007/31","5","VALLE BAJO ALBERCHE","JUDIA VERDE","HORTALIZAS","CEBREROS","2",,,,,
"2010","1","60","0001/01","5","AREVALO-MADRIGAL","TRIGO","CEREALES GRANO","CISLA","1","51",,,,
"2010","1","60","0001/02","5","AREVALO-MADRIGAL","CEBADA","CEREALES GRANO","CISLA","268","705",,,,
